,listing_Location,Listing_Name,Features,Price,Rating_Review
162,Entire home in Waiohinu,"Dragonfly Lodge, a Tropical Retreat House",7 guests · 4 bedrooms · 6 beds · 3 baths,"$455 CAD per night, originally $487",4.96 (108 reviews)
163,Entire cottage in Captain Cook,NANAINA COTTAGE. JUNGLE LOVERS DREAM,4 guests · 1 bedroom · 4 beds · 1.5 baths,"$350 CAD per night, originally $374",4.79 (110 reviews)
164,Entire home in Hilo,"Cozy Ocean-view home w/AC near town, Rainbow Falls",7 guests · 3 bedrooms · 4 beds · 2 baths,$504 CAD per night,5.0 (62 reviews)
165,Entire condo in Honolulu,=Free Parking!= Renovated 1Bedroom in East Waikiki,5 guests · 1 bedroom · 2 beds · 1 bath,$353 CAD per night,4.70 (124 reviews)
166,Entire condo in Kailua-Kona,Beautiful Top Floor Oceanfront Condo with AC! #421,5 guests · 2 bedrooms · 4 beds · 2 baths,$624 CAD per night,4.95 (37 reviews)
167,Entire cottage in Kailua-Kona,Foster's Ohia Hale,5 guests · 2 bedrooms · 4 beds · 1 bath,$324 CAD per night,4.95 (97 reviews)
168,Entire condo in Kihei,Beach Front Luxury in Makena,5 guests · 2 bedrooms · 4 beds · 2 baths,"$1,670 CAD per night",5.0 (7 reviews)
169,Entire rental unit in Kaunakakai,Molokai sunsets,4 guests · 2 bedrooms · 2 beds · 2 baths,"$190 CAD per night, originally $213",4.69 (49 reviews)
170,Entire condo in Kailua-Kona,Stunning Ocean Sunset Views from Private Lanai,4 guests · 1 bedroom · 2 beds · 2 baths,$369 CAD per night,5.0 (41 reviews)
171,Entire condo in Kihei,Oceanfront Luxury at a Discount!,6 guests · 2 bedrooms · 4 beds · 2 baths,$526 CAD per night,4.76 (30 reviews)
172,Entire condo in Waikoloa Village,"Gorgeous sunsets, golf course and ocean views",4 guests · 2 bedrooms · 2.5 baths,$294 CAD per night,empty
173,Entire home in Honomu,Private House Ocean/Mountain Views No Cleaning Fee,8 guests · 2 bedrooms · 6 beds · 2 baths,"$330 CAD per night, originally $413",4.94 (86 reviews)
174,Entire condo in Kihei,Paradise at a reasonable price Unit #101,4 guests · 2 bedrooms · 3 beds · 2 baths,$285 CAD per night,4.72 (50 reviews)
175,Entire condo in Kailua Kona,"Lovely Kona Plaza Beach Condo | Lanai, AC, Modern Kitchen | Pool, Grills",4 guests · 2 bedrooms · 2 beds · 2 baths,$409 CAD per night,4.75 (8 reviews)
176,Entire condo in Wailuku,Spectacular luxury modern oceanfront best condo,4 guests · 2 bedrooms · 2 beds · 2 baths,$692 CAD per night,5.0 (11 reviews)
177,Entire home in Kailua-Kona,Kona Ali'i Village Home,5 guests · 3 bedrooms · 3 beds · 2 baths,$669 CAD per night,4.85 (27 reviews)
178,Entire home in Pāhoa,Kehena Hideaway Luxury Home,4 guests · 2 bedrooms · 2 beds · 2 baths,$902 CAD per night,5.0 (10 reviews)
179,Entire home in Naalehu,"Hale Malulani, Private Estate With Ocean Views!",4 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.99 (88 reviews)
180,Entire condo in Honolulu,2 Bedroom PentHouse Ocean Views in Waikiki,6 guests · 2 bedrooms · 4 beds · 2 baths,$595 CAD per night,4.45 (62 reviews)
181,Entire home in Kamuela,Hale Kohola,6 guests · 3 bedrooms · 4 beds · 1 bath,"$436 CAD per night, originally $472",4.94 (153 reviews)
182,Entire home in Princeville,Executive 3bd Home - Ocean views - cold A/C,6 guests · 3 bedrooms · 3 beds · 3.5 baths,"$1,687 CAD per night",5.0 (28 reviews)
183,Entire condo in Lahaina,"Great condo, great deals",6 guests · 2 bedrooms · 4 beds · 1 bath,$557 CAD per night,4.20 (5 reviews)
184,Entire home in Koloa,Ka Nohona Pili Kai (living by the sea) Poipu Beach,4 guests · 2 bedrooms · 2 beds · 2 baths,$580 CAD per night,empty
185,Entire home in Honolulu,"Beautiful Two Bedrooms, Gated & Private Entrance",6 guests · 2 bedrooms · 2 beds · 1 bath,$761 CAD per night,4.86 (81 reviews)
186,Entire home in Honolulu,"Beaches, hikes, R&R, and comfort await you.",5 guests · 2 bedrooms · 2 beds · 1 bath,$592 CAD per night,5.0 (6 reviews)
187,Entire condo in Kailua-Kona,"KONA MAKAI OCEANFRONT SNORKEL,TENNIS, GYM, POOL",5 guests · 2 bedrooms · 3 beds · 1 bath,$368 CAD per night,4.50 (129 reviews)
188,Entire condo in Kailua-Kona,"Coastal Paradise at Peke's Ohana ""New Listing""",4 guests · 2 bedrooms · 2 beds · 2 baths,$412 CAD per night,4.80 (5 reviews)
189,Entire condo in Hauula,Epic Views! 2 Story Beachfront @ Pat's at Punaluu!,6 guests · 3 bedrooms · 4 beds · 2 baths,$836 CAD per night,4.80 (49 reviews)
190,Entire bungalow in Captain Cook,"Miloli'i Beach Bungalow, LLC",6 guests · 2 bedrooms · 2 beds · 1.5 baths,$200 CAD per night,4.88 (33 reviews)
191,Entire home in Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests · 3 bedrooms · 3 beds · 2 baths,$429 CAD per night,4.97 (172 reviews)
192,Entire condo in Kihei,"Wailea condominium, ocean view, 2 bed/2 bath",5 guests · 2 bedrooms · 3 beds · 2 baths,$608 CAD per night,4.96 (25 reviews)
193,Entire condo in Kihei,Luxury Villa with Panoramic Ocean View,4 guests · 2 bedrooms · 2 beds · 2 baths,$501 CAD per night,4.88 (8 reviews)
194,Entire condo in Honolulu,Beautiful & CLEAN>Pool View>Free Parking>WIFI>AC!!,6 guests · 1 bedroom · 3 beds · 1 bath,$555 CAD per night,4.79 (19 reviews)
195,Entire home in Keaau,Paradise Energy House ✔ King Bed ✔ Self Check-In,7 guests · 2 bedrooms · 5 beds · 2 baths,$361 CAD per night,4.96 (524 reviews)
196,Entire townhouse in Kailua-Kona,Tropical Living in Oceanfront Resort 31,5 guests · 2 bedrooms · 3 beds · 2 baths,$449 CAD per night,4.79 (101 reviews)
197,Entire home in Honokaa,Luana Ola Villa Fantastic Ocean View,6 guests · 1 bedroom · 1 bed · 1.5 baths,"$256 CAD per night, originally $284",4.75 (136 reviews)
198,Entire rental unit in Honolulu,Waikiki :New decoration2b/1b;at kalakaua  ave,6 guests · 2 bedrooms · 3 beds · 1 bath,$289 CAD per night,4.38 (32 reviews)
199,Entire condo in Honolulu,Spectacular Ocean View in Heart of Waikiki-Parking,6 guests · 1 bedroom · 3 beds · 1 bath,",&nbsp;",5.0 (4 reviews)
200,Entire condo in Honolulu,Views to Die For! Panoramic views in every room,7 guests · 2 bedrooms · 4 beds · 2 baths,"$1,202 CAD per night",4.89 (19 reviews)
201,Entire rental unit in Laie,"Hale MOANA - 2bd, 2ba w/AC - Laie - 30 days",9 guests · 2 bedrooms · 8 beds · 2 baths,$450 CAD per night,4.95 (153 reviews)
202,Entire condo in Honolulu,Ilikai Collection # 3. Luxury Condo & Beach Views!,5 guests · 1 bedroom · 1 bed · 1 bath,",&nbsp;",4.94 (48 reviews)
203,Entire condo in Kailua-Kona,Beach Villas (Ocean View) Sleeps 5,5 guests · 2 bedrooms · 4 beds · 2 baths,$396 CAD per night,4.81 (37 reviews)
204,Entire guesthouse in Kailua-Kona,New Modern Condo. Large Lanai. Amazing Ocean View!,5 guests · 2 bedrooms · 5 beds · 2 baths,$539 CAD per night,5.0 (25 reviews)
205,Entire cottage in Paia,LunaHouse In The Heart of Paia,4 guests · 2 bedrooms · 2 beds · 1 bath,"$466 CAD per night, originally $504",5.0 (74 reviews)
206,Entire condo in Kailua-Kona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests · 2 bedrooms · 2 beds · 2 baths,"$495 CAD per night, originally $541",5.0 (8 reviews)
207,Entire home in Naalehu,Aloha Friday Properties,6 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",4.73 (51 reviews)
208,Entire home in Pāhoa,Sugar Shack Classic,4 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.93 (27 reviews)
209,Entire guest suite in Honolulu,Hale Kaulana O Nu'uanu  2 bedroom guest suite w/AC,4 guests · 2 bedrooms · 3 beds · 1 bath,$502 CAD per night,5.0 (23 reviews)
210,Entire loft in Honolulu,Unique opportunity to rent a New York style loft!,6 guests · 2 bedrooms · 2 beds · 1.5 baths,"$834 CAD per night, originally $904",4.72 (18 reviews)
211,Entire condo in Honolulu,2Bd/2Ba High Floor Condo with Canal & City View,5 guests · 2 bedrooms · 3 beds · 2 baths,"$397 CAD per night, originally $436",4.78 (9 reviews)
212,Entire condo in Honolulu,Remodeled Waikiki 2BR/1BA - central location,6 guests · 2 bedrooms · 2 beds · 1 bath,$377 CAD per night,4.81 (93 reviews)
213,Entire condo in Honolulu,Waikiki Banyan 1 bedroom Condo w/free Parking,6 guests · 1 bedroom · 3 beds · 1 bath,$370 CAD per night,5.0 (3 reviews)
214,Entire condo in Kihei,Luxury 2BR/2BA condo steps from the best beach!,4 guests · 2 bedrooms · 3 beds · 2 baths,$367 CAD per night,4.80 (66 reviews)
215,Entire home in Kailua-Kona,Peaceful and classy Ohana in the Kona Palisades,4 guests · 1 bedroom · 4 beds · 1 bath,"$281 CAD per night, originally $301",5.0 (12 reviews)
216,Entire home in Maunaloa,Beach Condo on Molokai,4 guests · 1 bedroom · 2 beds · 1 bath,$264 CAD per night,4.91 (76 reviews)
217,Entire home in Haiku-Pauwela,Haiku Hale Aloha,6 guests · 2 bedrooms · 3 beds · 2 baths,",&nbsp;",5.0 (91 reviews)
218,"Entire condo in Kailua-Kona,",Surf & Racquet 3302 top floor penthouse unit 3bd/2bth. with Central A/C,6 guests · 3 bedrooms · 4 beds · 2 baths,$542 CAD per night,4.17 (6 reviews)
219,Entire townhouse in Kailua-Kona,Tropical Living in Oceanfront Resort 31,5 guests · 2 bedrooms · 3 beds · 2 baths,$449 CAD per night,4.79 (101 reviews)
220,Entire condo in Honolulu,Waikiki Banyan Aloha Suite - Ocean View,6 guests · 1 bedroom · 2 beds · 1 bath,$398 CAD per night,4.94 (31 reviews)
221,Entire condo in Kailua-Kona,2 bedroom royal retreat.,4 guests · 2 bedrooms · 2 beds · 2 baths,"$512 CAD per night, originally $554",4.86 (7 reviews)
222,Entire guest suite in Honolulu,Hale Kaulana O Nu'uanu  2 bedroom guest suite w/AC,4 guests · 2 bedrooms · 3 beds · 1 bath,$502 CAD per night,5.0 (23 reviews)
223,Entire home in Honolulu,Hawaiian Plantation Home,8 guests · 4 bedrooms · 4 beds · 4.5 baths,"$1,428 CAD per night",4.82 (58 reviews)
224,Entire condo in Honolulu,2 Bedroom Condo With Parking,4 guests · 2 bedrooms · 2 beds · 1 bath,$397 CAD per night,4.80 (202 reviews)
225,Entire home in Volcano,Private Volcano Golf and Country Club Home,6 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.85 (346 reviews)
226,Entire condo in Kihei,Absolutely the Best!! Full AC & Near Pool! PAW 304,6 guests · 2 bedrooms · 4 beds · 2 baths,$572 CAD per night,4.83 (24 reviews)
227,Entire townhouse in Waimea,Spring Sale 3br 5star at Mauni Lani,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$603 CAD per night,4.93 (57 reviews)
228,Entire condo in Kailua-Kona,2bd Oceanfront Condo:  Top Floor-A/C-Elevator-Pool,5 guests · 2 bedrooms · 2 beds · 2 baths,$433 CAD per night,4.91 (23 reviews)
229,Entire condo in Lahaina,"NEW! Tasteful Lahaina Condo, Beautiful Resort Pool",6 guests · 2 bedrooms · 3 beds · 2 baths,$679 CAD per night,empty
230,Entire home in Paia,"Romantic Maui Beach Home, 3 min walk to Baby Beach",5 guests · 3 bedrooms · 3 beds · 3 baths,"$2,885 CAD per night",4.96 (46 reviews)
231,Entire rental unit in Honolulu,2Bedroom Diamond Head Waikiki Lookout-Ocean View🏖,4 guests · 2 bedrooms · 3 beds · 1 bath,$785 CAD per night,empty
232,Entire townhouse in Kihei,BEST LOCATION W/SUPER LOW RATES! MAUI KAMAOLE A209,6 guests · 2 bedrooms · 3 beds · 2 baths,$530 CAD per night,4.84 (44 reviews)
233,Entire condo in Lahaina,Maui Hale Kai Oceanfront Condos 101,6 guests · 2 bedrooms · 4 beds · 1 bath,$712 CAD per night,4.92 (13 reviews)
234,Entire home in Keaau,HOUSE OF DOLPHINS (Hale Hale'ai),5 guests · 2 bedrooms · 2 beds · 2.5 baths,$836 CAD per night,4.74 (23 reviews)
235,Entire condo in Honolulu,Views to Die For! Panoramic views in every room,7 guests · 2 bedrooms · 4 beds · 2 baths,"$1,202 CAD per night",4.89 (19 reviews)
236,Entire condo in Kapaʻa,Paradise awaits! C-203 Dual Master Suite No Fees,6 guests · 2 bedrooms · 3 beds · 3 baths,"$911 CAD per night, originally $1,011",4.87 (38 reviews)
237,Entire home in Maunaloa,Beach Condo on Molokai,4 guests · 1 bedroom · 2 beds · 1 bath,$264 CAD per night,4.91 (76 reviews)
238,Entire home in Kailua,"Beautiful Kailua Home, Near the Beach",5 guests · 2 bedrooms · 2 beds · 1 bath,$396 CAD per night,4.82 (67 reviews)
239,Entire rental unit in Laie,"Hale MOANA - 2bd, 2ba w/AC - Laie - 30 days",9 guests · 2 bedrooms · 8 beds · 2 baths,$450 CAD per night,4.95 (153 reviews)
240,Entire rental unit in Honolulu,One block to Waikiki Beach,6 guests · 1 bedroom · 2 beds · 1 bath,$306 CAD per night,4.29 (30 reviews)
241,Entire vacation home in Waimea,Mauna Lani Palm Villas D2 Quiet Unit Historic View,6 guests · 3 bedrooms · 4 beds · 2 baths,$733 CAD per night,empty
242,Entire guesthouse in Waimea,"Private, Waimea Ohana (Guest House)",5 guests · 2 bedrooms · 3 beds · 1 bath,$321 CAD per night,4.97 (117 reviews)
243,Entire condo in Waikoloa Village,Casa Chilin-Waikoloa Beach Resort @ Fairway Villas,6 guests · 2 bedrooms · 2 beds · 2 baths,$583 CAD per night,4.95 (64 reviews)
244,Hotel room in Honolulu,33rd Floor LUXURY Suite Ala Moana Hotel by Waikiki,4 guests · 1 bedroom · 2 beds · 1 private bath,$321 CAD per night,4.91 (55 reviews)
245,Entire condo in Kailua-Kona,OCEAN FRONT 2bd/2bth Twnhm  Sunset Views FREE A/C!,4 guests · 2 bedrooms · 2 beds · 2 baths,$590 CAD per night,empty
246,Entire home in Honolulu,"Breathtaking ocean view, hot tub & pool",8 guests · 3 bedrooms · 4 beds · 3 baths,"$1,373 CAD per night",5.0 (3 reviews)
247,Entire condo in Waikoloa Village,"Cool and Comfortable, Home away from Home",4 guests · 2 bedrooms · 2 beds · 2 baths,$275 CAD per night,4.92 (24 reviews)
248,Entire condo in Wailuku,Mermaid Cove Breathtaking Views Island Sands 506,4 guests · 2 bedrooms · 2 beds · 2 baths,$700 CAD per night,4.79 (19 reviews)
249,Entire condo in Lahaina,"Upgraded spacious condo, Aina Nalu Lahaina A109",6 guests · 2 bedrooms · 3 beds · 2 baths,$514 CAD per night,4.85 (102 reviews)
250,Entire condo in Honolulu,Uncle Bruce's Hale Aloha,4 guests · 1 bedroom · 2 beds · 1 bath,$208 CAD per night,4.72 (68 reviews)
251,Entire condo in Honolulu,"Waikiki 8th floor w/2 Beds, Pool & Great City View",4 guests · Studio · 2 beds · 1 bath,$311 CAD per night,empty
252,Entire cottage in Honolulu,Mikaela's Cottage,6 guests · 3 bedrooms · 4 beds · 2 baths,$743 CAD per night,empty
253,Entire condo in Honolulu,NEW 2-bedroom condo at Waikiki/Wifi/Kitchen,5 guests · 2 bedrooms · 3 beds · 1 bath,$419 CAD per night,empty
254,Entire condo in Waimea,Puako Beach Condo - Kid-Friendly Corner Unit 201,6 guests · 3 bedrooms · 4 beds · 2 baths,"$400 CAD per night, originally $431",4.68 (29 reviews)
255,Entire condo in Honolulu,15th FL Banyan Partial Ocean ｗ/ One Free Parking,8 guests · 1 bedroom · 4 beds · 1 bath,$417 CAD per night,4.74 (39 reviews)
256,Entire condo in Kailua-Kona,Kona Makai 5-201,6 guests · 2 bedrooms · 2 beds · 2 baths,$390 CAD per night,4.80 (5 reviews)
257,Entire condo in Honolulu,Ocean View Family Condo for a Getaway,6 guests · 1 bedroom · 3 beds · 1 bath,$628 CAD per night,empty
258,Entire cottage in Holualoa,Kona Coffee Cottage in Holualoa,4 guests · 2 bedrooms · 2 beds · 1 bath,$454 CAD per night,5.0 (10 reviews)
259,Entire home in Ocean View,"Halfway to Kilauea, King suite, Long stays welcome",6 guests · 2 bedrooms · 3 beds · 2 baths,$338 CAD per night,4.94 (47 reviews)
260,Entire townhouse in Kailua-Kona,Tropical Living in Oceanfront Resort 31,5 guests · 2 bedrooms · 3 beds · 2 baths,$449 CAD per night,4.79 (101 reviews)
261,Entire home in Waikoloa Village,OceanView 3Bedroom *A/C*  Waikoloa Village house,6 guests · 3 bedrooms · 5 beds · 2 baths,"$587 CAD per night, originally $631",empty
262,Entire condo in Waikoloa Village,Casa Chilin-Waikoloa Beach Resort @ Fairway Villas,6 guests · 2 bedrooms · 2 beds · 2 baths,$583 CAD per night,4.95 (64 reviews)
263,Entire villa in Waimea,Mauna Lani Resort Kulalani 1804 Secluded Villa with Class,4 guests · 2 bedrooms · 2 beds · 3 baths,$579 CAD per night,4.84 (32 reviews)
264,Entire condo in Waikoloa Village,Romantic Beach Getaway F22 Walk to Beach & Golf,6 guests · 2 bedrooms · 4 beds · 2 baths,$449 CAD per night,4.88 (33 reviews)
265,Entire home in Honolulu,"Breathtaking ocean view, hot tub & pool",8 guests · 3 bedrooms · 4 beds · 3 baths,"$1,373 CAD per night",5.0 (3 reviews)
266,Resort room in Lahaina,Honua Kai - 2BD/2BA - CORNER UNIT & LARGE BALCONY,6 guests · 2 bedrooms · 4 beds · 2 baths,"$1,166 CAD per night",empty
267,Entire condo in Honolulu,Waikiki at its Best - Marine Surf Studio,5 guests · Studio · 2 beds · 1 bath,"$247 CAD per night, originally $277",4.86 (78 reviews)
268,Entire guest suite in Honolulu,All under heaven are of one family2,4 guests · 2 bedrooms · 2 beds · 1 bath,$306 CAD per night,4.87 (15 reviews)
269,Entire condo in Kailua-Kona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests · 2 bedrooms · 2 beds · 2 baths,"$495 CAD per night, originally $541",5.0 (8 reviews)
270,Entire condo in Kihei,Relaxing 2BD with Great Ocean Views 509,4 guests · 2 bedrooms · 3 beds · 2 baths,$388 CAD per night,4.50 (34 reviews)
271,Entire home in Kailua-Kona,Stunning Ocean Front Home,10 guests · 3 bedrooms · 8 beds · 3 baths,"$2,029 CAD per night",4.91 (34 reviews)
272,Entire home in Kailua-Kona,Honu Kai Hale - Oceanfront home,4 guests · 2 bedrooms · 3 beds · 2 baths,"$1,086 CAD per night",4.91 (65 reviews)
273,Entire condo in Honolulu,"Waikiki Island Colony 1 Bdrm, 1702",4 guests · 1 bedroom · 3 beds · 1 bath,"$288 CAD per night, originally $311",4.45 (11 reviews)
274,Entire condo in Kihei,BEAUTIFUL 1 BED/2 BATH AT MAUI KAMAOLE,4 guests · 1 bedroom · 2 beds · 2 baths,$380 CAD per night,empty
275,Entire condo in Wailuku,Spectacular luxury modern oceanfront best condo,4 guests · 2 bedrooms · 2 beds · 2 baths,$692 CAD per night,5.0 (11 reviews)
276,Entire condo in Wailuku,Direct Oceanfront - Kanai A Nalu 203 - 2BD/2BA,5 guests · 2 bedrooms · 4 beds · 2 baths,$670 CAD per night,4.92 (130 reviews)
277,Entire condo in Honolulu,Lovely 2 bedroom condo with awesome view,6 guests · 2 bedrooms · 4 beds · 1 bath,$355 CAD per night,5.0 (3 reviews)
278,Entire condo in Honolulu,Waikiki Banyan 1 bedroom Condo w/free Parking,6 guests · 1 bedroom · 3 beds · 1 bath,$370 CAD per night,5.0 (3 reviews)
279,Entire condo in Honolulu,"Waikiki 2 Bedroom w/ Covered Parking, Family Condo",6 guests · 2 bedrooms · 4 beds · 1 bath,$566 CAD per night,4.74 (43 reviews)
280,Entire guesthouse in Haiku-Pauwela,HawaiianDreamTemple-2BRTropical Oasis BBPH20120004,6 guests · 2 bedrooms · 3 beds · 1 bath,$808 CAD per night,4.79 (104 reviews)
281,Entire condo in Honolulu,Views to Die For! Panoramic views in every room,7 guests · 2 bedrooms · 4 beds · 2 baths,"$1,202 CAD per night",4.89 (19 reviews)
282,Entire villa in Lahaina,"Villa 2423-24. Platinum level, remodeled townhouse features exquisite ocean views and lots of space",6 guests · 2 bedrooms · 2 beds · 3 baths,"$950 CAD per night, originally $1,040",4.95 (20 reviews)
283,Entire condo in Lahaina,"Upgraded spacious condo, Aina Nalu Lahaina A109",6 guests · 2 bedrooms · 3 beds · 2 baths,$514 CAD per night,4.85 (102 reviews)
284,Entire bungalow in Lahaina,Ka Hale Aloha (The Love Shack),4 guests · 2 bedrooms · 2 beds · 1 bath,",&nbsp;",5.0 (60 reviews)
285,Entire cottage in Waimea,The Reef House - 2 Bedroom Oceanfront Cottage,4 guests · 2 bedrooms · 2 baths,"$1,315 CAD per night",empty
286,Entire condo in Honolulu,Remodeled Waikiki 2BR/1BA - central location,6 guests · 2 bedrooms · 2 beds · 1 bath,$377 CAD per night,4.81 (93 reviews)
287,Entire townhouse in Kihei,Newly remodeled 2B/2B  at Ma'alaea Surf Resort,4 guests · 2 bedrooms · 2 beds · 2 baths,$575 CAD per night,5.0 (6 reviews)
288,Entire condo in Kailua-Kona,Tropical Luxury –  Oceanfront Pool!!,4 guests · 2 bedrooms · 3 beds · 1 bath,$321 CAD per night,4.74 (117 reviews)
289,Entire condo in Honolulu,Finest Modern Banyan Waikiki Suite FREE Parking,7 guests · 1 bedroom · 2 beds · 1 bath,$448 CAD per night,4.75 (109 reviews)
290,Entire condo in Princeville,Beautiful spacious ocean and mountain view condo .,4 guests · 2 bedrooms · 1 bed · 2 baths,"$492 CAD per night, originally $565",empty
291,Entire condo in Honolulu,Waikiki Banyan Oceanview Modern Relaxation 4 guest,4 guests · 1 bedroom · 2 beds · 1 bath,$375 CAD per night,empty
292,Entire home in Kailua-Kona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests · 4 bedrooms · 4 beds · 2 baths,$658 CAD per night,empty
293,Entire condo in Lahaina,"Great condo, great deals",6 guests · 2 bedrooms · 4 beds · 1 bath,$557 CAD per night,4.20 (5 reviews)
294,Entire condo in Kamuela,"Mauna Lani condo with waterfall pool, hot tub & tennis court",6 guests · 2 bedrooms · 3 beds · 2 baths,"$528 CAD per night, originally $600",4.77 (26 reviews)
295,Entire loft in Honolulu,Unique opportunity to rent a New York style loft!,6 guests · 2 bedrooms · 2 beds · 1.5 baths,"$834 CAD per night, originally $904",4.72 (18 reviews)
296,Entire cottage in Paia,LunaHouse In The Heart of Paia,4 guests · 2 bedrooms · 2 beds · 1 bath,"$466 CAD per night, originally $504",5.0 (74 reviews)
297,Entire condo in Honolulu,NEW 2-bedroom condo at Waikiki/Wifi/Kitchen,5 guests · 2 bedrooms · 3 beds · 1 bath,$419 CAD per night,empty
298,Entire condo in Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests · 2 bedrooms · 2 beds · 2 baths,$635 CAD per night,4.60 (5 reviews)
299,Entire condo in Lahaina,"Temp price drop! 180 deg views, 2b/2ba, on ocean",6 guests · 2 bedrooms · 3 beds · 2 baths,$788 CAD per night,4.88 (52 reviews)
